# Wordlist

# DATA
ID	DOCULECT	DOCULECT_IN_SOURCE	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	VALUE	FORM	SOURCE	BVD_ID	COGID	BORROWING	VARIANTS	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	TURCHINID	TID	EDITID	SCAID	INFOMAPID	ALIGNMENT
5621	Hawaiian	Hawaiian	hawa1245	1493	One	'ekahi	'ekahi	71458	173586	335		kahi	ʔ e k a h i	1 7 1 7 3 7	AXBYBZ	HEKAHI	1	1.H.C 1.E.V 1.K.C 1.A.V 1.H.C 1.I.V	2.0 1.5 1.75 1.3 1.75 0.8	ʔekahi	0	41	41	16	26	14	ʔ e k a h i
1602	Rapanui	Rapanui (Easter Island)	rapa1244	1493	One	tahi	tahi	POLLEX	70236	335			t a h i	1 7 3 7	AXBZ	TAHI	5	5.T.C 5.A.V 5.H.C 5.I.V	2.0 1.5 1.75 0.8	tahi	0	42	42	16	26	14	- - t a h i
1860	Mangareva	Mangareva	mang1401	1493	One	ta'i	ta'i	POLLEX	321438	335		e/taì	t a ʔ i	1 7 1 7	AXBZ	TAHI	2	2.T.C 2.A.V 2.H.C 2.I.V	2.0 1.5 1.75 0.8	taʔi	0	42	42	16	26	14	- - t a ʔ i
3083	Sikaiana	Sikaiana	sika1261	1493	One	tasi	tasi	POLLEX	123404	335		tahi	t a s i	1 7 3 7	AXBZ	TASI	8	8.T.C 8.A.V 8.S.C 8.I.V	2.0 1.5 1.75 0.8	tasi	0	48	48	16	26	14	- - t a s i
3304	North_Marquesan	Marquesan	nort2845	1493	One	tahi	tahi	POLLEX	70010	335			t a h i	1 7 3 7	AXBZ	TAHI	4	4.T.C 4.A.V 4.H.C 4.I.V	2.0 1.5 1.75 0.8	tahi	0	42	42	16	26	14	- - t a h i
#
4390	Ra’ivavae	Ra'ivavae	aust1304	1634	One Hundred	Gau	Gau	Tamaititahio-1213-2015	291342	518			ɢ a u	1 7 7	AXZ	KAY	6	6.K.C 6.A.V 6.Y.V	2.0 1.5 0.8	ɢau	0	54	54	23	32	16	ɢ a u
4589	Tuamotuan	Tuamotu	tuam1242	1634	One Hundred	rau	rau	POLLEX	83369	518			r a u	5 7 7	AXZ	RAY	10	10.R.C 10.A.V 10.Y.V	2.0 1.5 0.8	rau	0	50	50	23	28	16	r a u
719	Maori	Maori	maor1246	1634	One Hundred	rau	rau	Biggs-85-2005	83354	518			r a u	5 7 7	AXZ	RAY	3	3.R.C 3.A.V 3.Y.V	2.0 1.5 0.8	rau	0	50	50	23	28	16	r a u
5096	Rurutuan	Rurutuan	aust1304	1634	One Hundred	ʔaanere	ʔaanere	Meyer-128-2005	165156	186			ʔ aː n e r e	1 7 4 7 5 7	AXBYBZ	HANERE	7	7.H.C 7.A.V 7.N.C 7.E.V 7.R.C 7.E.V	2.0 1.5 1.75 1.3 1.75 0.8	ʔaːnere	0	49	49	22	27	17	ʔ aː n e r e
